year,month,dayofyear,time_of_day,rate_of_change,weekday,wind_chill,rel_hum_,rain,snow,is_holiday
2016,8,239,2,-5.0,4,22.449999999999996,85.25,0.0,0.0,0
2016,8,239,3,6.0,4,24.6,77.25,0.0,0.0,0
2016,8,239,4,-5.0,4,28.049999999999997,44.25,0.0,0.0,0
2016,8,239,5,-25.0,4,23.575,60.25,0.0,0.0,0
2016,8,240,0,-6.0,5,21.2,64.0,0.0,0.0,0
2016,8,240,1,-1.0,5,19.4,74.25,0.0,0.0,0
2016,8,240,2,-1.0,5,22.150000000000002,73.75,0.0,0.0,0
2016,8,240,3,-4.0,5,23.575000000000003,68.75,0.0,0.0,0
2016,8,240,4,-2.0,5,23.725,60.5,0.0,0.0,0
2016,8,240,5,-2.0,5,22.675,79.5,0.0,0.0,0
2016,8,241,0,-3.0,6,22.875,76.0,0.0,0.0,0
2016,8,241,1,-2.0,6,22.325000000000003,89.5,0.0,0.0,0
2016,8,241,2,-1.0,6,23.85,81.75,0.0,0.0,0
2016,8,241,3,-2.0,6,27.825,66.25,0.0,0.0,0
2016,8,241,4,-12.0,6,29.0,55.25,0.0,0.0,0
2016,8,241,5,5.0,6,23.85,66.75,0.0,0.0,0
2016,8,242,0,13.0,0,20.6,70.75,0.0,0.0,0
2016,8,242,1,-3.0,0,19.5,76.25,0.0,0.0,0
2016,8,242,2,5.0,0,23.25,72.75,0.0,0.0,0
2016,8,242,3,-1.0,0,23.55,75.25,0.0,0.0,0
2016,8,242,4,1.0,0,23.825,72.0,0.0,0.0,0
2016,8,242,5,-26.0,0,22.15,76.0,0.0,0.0,0
2016,8,243,0,2.0,1,20.55,81.25,0.0,0.0,0
2016,8,243,1,0.0,1,20.025,77.0,0.0,0.0,0
2016,8,243,2,0.0,1,22.825000000000003,71.75,0.0,0.0,0
2016,8,243,3,10.0,1,25.949999999999996,66.5,0.0,0.0,0
2016,8,243,4,-16.0,1,25.975,69.5,0.0,0.0,0
2016,8,243,5,-32.0,1,23.825,81.75,0.0,0.0,0
2016,8,244,0,2.0,2,22.824999999999996,84.75,0.0,0.0,0
2016,8,244,1,1.0,2,22.775,81.0,1.0,0.0,0
2016,8,244,2,1.0,2,23.325000000000003,83.5,0.0,0.0,0
2016,8,244,3,9.0,2,25.075000000000003,75.0,0.0,0.0,0
2016,8,244,4,-15.0,2,25.224999999999998,46.75,0.0,0.0,0
2016,8,244,5,-33.0,2,20.85,60.75,0.0,0.0,0
2016,9,245,0,-4.0,3,18.925,66.75,0.0,0.0,0
2016,9,245,1,1.0,3,17.599999999999998,71.75,0.0,0.0,0
2016,9,245,2,2.0,3,20.25,61.0,0.0,0.0,0
2016,9,245,3,4.0,3,22.325,49.75,0.0,0.0,0
2016,9,245,4,-4.0,3,21.275,57.5,1.0,0.0,0
2016,9,245,5,-22.0,3,19.375,64.75,0.0,0.0,0
2016,9,246,0,1.0,4,17.625,66.25,0.0,0.0,0
2016,9,246,1,-5.0,4,15.85,68.5,0.0,0.0,0
2016,9,246,2,2.0,4,18.675000000000004,61.0,0.0,0.0,0
2016,9,246,3,3.0,4,20.275,62.5,0.0,0.0,0
2016,9,246,4,-15.0,4,20.575,62.0,0.0,0.0,0
2016,9,246,5,-9.0,4,18.25,66.75,0.0,0.0,0
2016,9,247,0,-2.0,5,17.55,67.25,0.0,0.0,0
2016,9,247,1,1.0,5,16.575000000000003,71.0,0.0,0.0,0
2016,9,247,2,-1.0,5,19.6,66.25,0.0,0.0,0
2016,9,247,3,6.0,5,21.724999999999998,53.25,0.0,0.0,0
2016,9,247,4,3.0,5,20.9,57.25,0.0,0.0,0
2016,9,247,5,7.0,5,18.475,71.0,0.0,0.0,0
2016,9,248,0,2.0,6,16.150000000000002,80.5,0.0,0.0,0
2016,9,248,1,-2.0,6,17.025,76.5,0.0,0.0,0
2016,9,248,2,0.0,6,21.0,68.25,0.0,0.0,0
2016,9,248,3,-3.0,6,22.25,63.0,0.0,0.0,0
